valuewilling,Chrome,Laptop,1024×768,Delhi,Movies,"Memento (2000)","2015-01-25 04:11:58.053"
parcelproof,Opera,PC,1280x800,Coimbatore,Phones,"Micromax Canvas Spark","2015-03-18 15:51:03.233"
listendeneb,Opera,Phone,1280x800,Bangalore,Tablets,"Asus Transformer Pad Infinity","2015-05-12 05:19:16.098"
bakerysin,Safari,Laptop,1024×768,Coimbatore,Books,"Red Ruby Heart in a Cold Blue Sea ","2015-04-14 04:43:59.649"
yorkshirepastern,Firefox,PC,1366×768,Chennai,Movies,"The Pianist (2002)","2015-01-28 14:30:50.851"
paringtime,Chrome,PC,1366×768,Coimbatore,Books,"The Liar, the Bitch and the Wardrobe ","2015-05-08 13:43:11.143"
weightcasting,Internet Explorer,Laptop,320x480,Bangalore,Movies,"Gladiator (2000)","2015-04-27 12:48:21.079"
hollandaisefolding,Safari,PC,1280x800,Chennai,Phones,"Micromax Canvas Spark","2015-01-09 19:31:25.356"
sawtpine,Safari,Phone,320x480,Coimbatore,Movies,"American Beauty (1999)","2015-01-25 05:23:02.68"
halfthe,Firefox,Laptop,1366×768,Coimbatore,Movies,"Pulp Fiction (1994)","2015-02-25 04:45:29.256"
messywire,Opera,Laptop,320x480,Bangalore,Tablets,"Samsung Galaxy Note Pro 12.2","2015-05-24 15:02:28.524"
kitsliving,Opera,Phone,1366×768,Delhi,Laptops,"HP Stream 13 (13-c020nr)","2015-01-23 21:10:09.133"
pitchershocked,Safari,Phone,1280x800,Delhi,Movies,"The Good, the Bad and the Ugly (1966)","2015-01-05 16:42:08.539"
towerfishified,Opera,Phone,1024×768,Delhi,Books,"Tell the Wolves I'm Home ","2015-04-20 07:59:13.315"
revealflight,Internet Explorer,PC,320x480,Delhi,Books,"And When She Was Good ","2015-05-20 09:33:29.14"
plumberdray,Chrome,Laptop,320x480,Bangalore,Movies,"The Godfather","2015-05-18 11:35:16.684"
acneclay,Internet Explorer,Phone,1366×768,Delhi,Laptops,"Dell Latitude 14 7000 Series (E7450)","2015-01-03 06:14:03.024"
biotablazing,Chrome,PC,320x480,Delhi,Laptops,"Toshiba Tecra C50-B1503","2015-03-16 23:22:47.369"
parcelproof,Firefox,Laptop,1366×768,Pondicherry,Movies,"Sunset Blvd. (1950)","2015-02-25 08:03:16.549"
troupecoughs,Safari,Laptop,1024×768,Chennai,Laptops,"Origin EON15-X","2015-05-25 01:45:02.608"
revealflight,Firefox,Phone,1366×768,Delhi,Movies,"The Shawshank Redemption (1994)","2015-01-18 08:29:52.901"
